,CO2 per cápita (toneladas métricas),intervalos,frecuencias
26,2.868319392,"(-0.00042, 19.969]",8744.0
27,7.234964017,"(-0.00042, 19.969]",8744.0
28,10.026507523,"(-0.00042, 19.969]",8744.0
29,10.634732599,"(-0.00042, 19.969]",8744.0
30,29.620164768,"(19.969, 39.937]",216.0
31,29.847608437,"(19.969, 39.937]",216.0
32,25.258151975,"(19.969, 39.937]",216.0
33,24.430480841,"(19.969, 39.937]",216.0
34,22.996440678,"(19.969, 39.937]",216.0
35,22.186614546,"(19.969, 39.937]",216.0
36,21.641889537,"(19.969, 39.937]",216.0
37,21.500661229,"(19.969, 39.937]",216.0
38,19.621533984,"(-0.00042, 19.969]",8744.0
39,19.652588648,"(-0.00042, 19.969]",8744.0
40,25.547678795,"(19.969, 39.937]",216.0
41,25.382489719,"(19.969, 39.937]",216.0
42,24.975514501,"(19.969, 39.937]",216.0
43,24.909065608,"(19.969, 39.937]",216.0
44,24.510542626,"(19.969, 39.937]",216.0
45,24.964530995,"(19.969, 39.937]",216.0
46,24.766706337,"(19.969, 39.937]",216.0
47,25.613714952,"(19.969, 39.937]",216.0
48,24.750133212,"(19.969, 39.937]",216.0
49,24.876705845,"(19.969, 39.937]",216.0
50,24.182702245,"(19.969, 39.937]",216.0
51,23.922412102,"(19.969, 39.937]",216.0
87,6.374494942,"(-0.00042, 19.969]",8744.0
88,6.616353766,"(-0.00042, 19.969]",8744.0
89,7.145696603,"(-0.00042, 19.969]",8744.0
90,7.576446281,"(-0.00042, 19.969]",8744.0
91,8.001433893,"(-0.00042, 19.969]",8744.0
92,8.018180706,"(-0.00042, 19.969]",8744.0
93,7.73765678,"(-0.00042, 19.969]",8744.0
94,7.484094812,"(-0.00042, 19.969]",8744.0
95,7.159140446,"(-0.00042, 19.969]",8744.0
96,7.208828523,"(-0.00042, 19.969]",8744.0
97,7.088127747,"(-0.00042, 19.969]",8744.0
98,6.553476545,"(-0.00042, 19.969]",8744.0
99,6.350868305,"(-0.00042, 19.969]",8744.0
100,6.296124556,"(-0.00042, 19.969]",8744.0
101,6.049172848,"(-0.00042, 19.969]",8744.0
102,6.12477049,"(-0.00042, 19.969]",8744.0
103,5.96868547,"(-0.00042, 19.969]",8744.0
104,0.046067875,"(-0.00042, 19.969]",8744.0
105,0.053614943,"(-0.00042, 19.969]",8744.0
106,0.073781338,"(-0.00042, 19.969]",8744.0
107,0.074251368,"(-0.00042, 19.969]",8744.0
108,0.086316543,"(-0.00042, 19.969]",8744.0
109,0.101498607,"(-0.00042, 19.969]",8744.0
110,0.10767397,"(-0.00042, 19.969]",8744.0
111,0.123782381,"(-0.00042, 19.969]",8744.0
112,0.115547383,"(-0.00042, 19.969]",8744.0
113,0.086862817,"(-0.00042, 19.969]",8744.0
114,0.150358548,"(-0.00042, 19.969]",8744.0
115,0.166114846,"(-0.00042, 19.969]",8744.0
116,0.130820142,"(-0.00042, 19.969]",8744.0
